Date,Open,High,Low,Close,Adj Close,Volume
2017-01-23,5.880000,5.890000,5.870000,5.880000,5.703191,62389
2017-01-24,null,null,null,null,null,null
2017-01-26,5.960000,5.960000,5.960000,5.960000,5.780786,11106
2017-01-29,5.960000,5.960000,5.920000,5.920000,5.741988,37827
2017-01-30,5.920000,5.920000,5.900000,5.900000,5.722589,36191
2017-01-31,5.910000,5.910000,5.910000,5.910000,5.732288,5650
2017-02-01,5.900000,5.900000,5.900000,5.900000,5.722589,5100
2017-02-02,5.830000,5.840000,5.830000,5.840000,5.664394,19052
2017-02-05,null,null,null,null,null,null
2017-02-06,5.860000,5.870000,5.850000,5.860000,5.683792,40059
2017-02-07,5.890000,5.890000,5.890000,5.890000,5.712890,9781
2017-02-08,null,null,null,null,null,null
2017-02-09,5.950000,5.960000,5.950000,5.950000,5.771086,24916
2017-02-12,5.950000,5.950000,5.950000,5.950000,5.771086,134
2017-02-13,5.980000,6.000000,5.980000,5.990000,5.809883,22462
2017-02-14,6.000000,6.000000,6.000000,6.000000,5.819582,46120
2017-02-15,6.000000,6.000000,6.000000,6.000000,5.819582,19026
2017-02-16,6.010000,6.010000,6.000000,6.010000,5.829282,11614
2017-02-19,6.050000,6.050000,6.050000,6.050000,5.868079,1350
2017-02-20,6.050000,6.050000,6.050000,6.050000,5.868079,11372
2017-02-21,6.060000,6.060000,6.050000,6.050000,5.868079,22414
2017-02-22,6.050000,6.050000,6.050000,6.050000,5.868079,8977
2017-02-23,6.040000,6.050000,6.040000,6.050000,5.868079,17223
2017-02-26,6.090000,6.090000,6.070000,6.090000,5.906877,21319
2017-02-27,6.080000,6.080000,6.080000,6.080000,5.897177,24561
2017-02-28,null,null,null,null,null,null
2017-03-01,6.130000,6.140000,6.130000,6.140000,5.955372,80213
2017-03-02,6.200000,6.200000,6.190000,6.190000,6.003869,18460
2017-03-05,null,null,null,null,null,null
2017-03-06,6.170000,6.170000,6.150000,6.160000,5.974771,13454
2017-03-07,6.140000,6.140000,6.130000,6.130000,5.945673,18242
2017-03-08,6.190000,6.220000,6.190000,6.220000,6.032967,13752
2017-03-09,6.250000,6.250000,6.250000,6.250000,6.062065,1925
2017-03-12,null,null,null,null,null,null
2017-03-13,6.230000,6.230000,6.210000,6.210000,6.023268,3080
2017-03-14,6.210000,6.210000,6.200000,6.210000,6.023268,27772
2017-03-15,6.170000,6.170000,6.150000,6.170000,5.984471,80880
2017-03-16,6.170000,6.180000,6.170000,6.170000,5.984471,5181
2017-03-19,6.160000,6.160000,6.150000,6.150000,5.965072,9139
2017-03-20,6.120000,6.130000,6.120000,6.130000,5.945673,8262
2017-03-21,6.090000,6.100000,6.080000,6.090000,5.906877,23541
2017-03-22,6.130000,6.130000,6.130000,6.130000,5.945673,6855
2017-03-23,null,null,null,null,null,null
2017-03-26,6.170000,6.170000,6.150000,6.150000,5.965072,21443
2017-03-27,6.200000,6.210000,6.200000,6.210000,6.023268,66342
2017-03-28,6.200000,6.200000,6.200000,6.200000,6.013568,9021
2017-03-29,6.200000,6.200000,6.200000,6.200000,6.013568,8324
2017-03-30,6.200000,6.200000,6.190000,6.200000,6.013568,5812
2017-04-03,6.200000,6.230000,6.200000,6.230000,6.042666,24634
2017-04-04,6.220000,6.220000,6.200000,6.210000,6.023268,27190
2017-04-05,6.260000,6.260000,6.240000,6.250000,6.062065,23124
2017-04-06,6.220000,6.230000,6.220000,6.230000,6.042666,138712
2017-04-07,6.260000,6.260000,6.230000,6.250000,6.062065,14699
2017-04-10,6.280000,6.300000,6.280000,6.300000,6.110562,21856
2017-04-11,6.290000,6.290000,6.280000,6.290000,6.100863,12479
2017-04-12,6.280000,6.290000,6.280000,6.290000,6.100863,22649
2017-04-13,6.250000,6.260000,6.210000,6.210000,6.023268,47232
2017-04-18,6.220000,6.230000,6.220000,6.230000,6.042666,22460
2017-04-19,6.220000,6.250000,6.220000,6.250000,6.062065,25056
2017-04-20,6.280000,6.280000,6.280000,6.280000,6.091163,17665
2017-04-21,6.310000,6.310000,6.300000,6.310000,6.120260,17636
2017-04-24,null,null,null,null,null,null
2017-04-26,6.390000,6.420000,6.390000,6.410000,6.217254,124813
2017-04-27,6.440000,6.460000,6.430000,6.460000,6.265750,13243
2017-04-28,6.500000,6.520000,6.490000,6.500000,6.304548,53124
2017-05-01,6.490000,6.490000,6.490000,6.490000,6.294848,6326
2017-05-02,6.470000,6.470000,6.450000,6.460000,6.265750,36801
2017-05-03,6.490000,6.500000,6.490000,6.500000,6.304548,4282
2017-05-04,6.570000,6.580000,6.570000,6.570000,6.372443,68327
2017-05-05,6.600000,6.620000,6.600000,6.620000,6.420939,18653
2017-05-08,6.640000,6.650000,6.630000,6.650000,6.450037,23526
2017-05-09,6.650000,6.670000,6.640000,6.670000,6.469436,16837
2017-05-10,6.680000,6.680000,6.670000,6.670000,6.469436,54055
2017-05-11,6.670000,6.690000,6.670000,6.690000,6.488834,22616
2017-05-12,6.660000,6.660000,6.650000,6.650000,6.450037,27060
2017-05-15,6.670000,6.670000,6.660000,6.670000,6.469436,416762
2017-05-16,6.660000,6.660000,6.650000,6.660000,6.459736,93800
2017-05-17,6.630000,6.640000,6.630000,6.640000,6.440338,10531
2017-05-18,6.570000,6.570000,6.540000,6.550000,6.353045,110169
2017-05-19,6.590000,6.590000,6.590000,6.590000,6.391841,14229
2017-05-22,6.630000,6.630000,6.620000,6.630000,6.430639,16826
2017-05-23,6.630000,6.630000,6.610000,6.610000,6.411240,11710
2017-05-24,null,null,null,null,null,null
2017-05-25,6.650000,6.660000,6.650000,6.660000,6.459736,24676
2017-05-26,6.720000,6.740000,6.720000,6.730000,6.527632,15752
2017-05-29,6.720000,6.740000,6.720000,6.740000,6.537331,52430
2017-05-30,6.730000,6.740000,6.720000,6.730000,6.527632,57925
2017-05-31,6.720000,6.730000,6.700000,6.720000,6.517932,35470
2017-06-01,6.740000,6.780000,6.740000,6.770000,6.566429,124909
2017-06-02,6.850000,6.850000,6.820000,6.850000,6.644023,19665
2017-06-05,6.800000,6.800000,6.780000,6.800000,6.595527,219054
2017-06-06,6.780000,6.780000,6.750000,6.750000,6.547030,26664
2017-06-07,6.720000,6.720000,6.690000,6.700000,6.498533,226186
2017-06-08,6.700000,6.700000,6.690000,6.690000,6.488834,22270
2017-06-09,6.690000,6.700000,6.690000,6.700000,6.498533,12960
2017-06-13,6.660000,6.660000,6.600000,6.610000,6.411240,46141
