Date,Open,High,Low,Close,Adj Close,Volume
2016-09-02,5.350000,5.350000,5.350000,5.350000,5.054992,11092
2016-09-05,null,null,null,null,null,null
2016-09-06,null,null,null,null,null,null
2016-09-07,5.490000,5.490000,5.490000,5.490000,5.187273,925
2016-09-08,null,null,null,null,null,null
2016-09-09,null,null,null,null,null,null
2016-09-12,5.440000,5.440000,5.440000,5.440000,5.140030,1743
2016-09-13,null,null,null,null,null,null
2016-09-14,5.350000,5.350000,5.350000,5.350000,5.054992,1000
2016-09-15,null,null,null,null,null,null
2016-09-16,null,null,null,null,null,null
2016-09-19,5.340000,5.340000,5.340000,5.340000,5.045544,4000
2016-09-20,null,null,null,null,null,null
2016-09-21,5.300000,5.300000,5.300000,5.300000,5.007749,38900
2016-09-22,5.390000,5.390000,5.380000,5.380000,5.083338,5779
2016-09-23,5.420000,5.420000,5.420000,5.420000,5.121132,18450
2016-09-26,null,null,null,null,null,null
2016-09-27,5.370000,5.370000,5.370000,5.370000,5.073890,3000
2016-09-28,5.270000,5.270000,5.270000,5.270000,4.979404,900
2016-09-29,5.450000,5.460000,5.450000,5.460000,5.158927,8850
2016-09-30,null,null,null,null,null,null
2016-10-02,null,null,null,null,null,null
2016-10-03,null,null,null,null,null,null
2016-10-04,null,null,null,null,null,null
2016-10-05,5.630000,5.640000,5.630000,5.640000,5.329001,2850
2016-10-06,null,null,null,null,null,null
2016-10-09,5.660000,5.660000,5.660000,5.660000,5.347898,4543
2016-10-10,null,null,null,null,null,null
2016-10-11,5.690000,5.690000,5.680000,5.680000,5.366796,96500
2016-10-12,5.610000,5.610000,5.610000,5.610000,5.300656,36000
2016-10-13,null,null,null,null,null,null
2016-10-16,null,null,null,null,null,null
2016-10-17,null,null,null,null,null,null
2016-10-18,5.640000,5.640000,5.640000,5.640000,5.329001,35562
2016-10-19,null,null,null,null,null,null
2016-10-20,5.680000,5.680000,5.680000,5.680000,5.366796,500
2016-10-23,null,null,null,null,null,null
2016-10-24,null,null,null,null,null,null
2016-10-25,null,null,null,null,null,null
2016-10-26,null,null,null,null,null,null
2016-10-27,null,null,null,null,null,null
2016-10-30,null,null,null,null,null,null
2016-10-31,null,null,null,null,null,null
2016-11-01,5.550000,5.550000,5.550000,5.550000,5.243964,4630
2016-11-02,null,null,null,null,null,null
2016-11-03,5.470000,5.470000,5.470000,5.470000,5.168375,9258
2016-11-06,5.510000,5.510000,5.500000,5.500000,5.196721,35725
2016-11-07,null,null,null,null,null,null
2016-11-08,5.470000,5.470000,5.250000,5.250000,4.960506,49500
2016-11-09,null,null,null,null,null,null
2016-11-10,null,null,null,null,null,null
2016-11-13,5.490000,5.490000,5.490000,5.490000,5.187273,526
2016-11-14,null,null,null,null,null,null
2016-11-15,5.660000,5.660000,5.660000,5.660000,5.347898,180
2016-11-16,null,null,null,null,null,null
2016-11-17,null,null,null,null,null,null
2016-11-20,null,null,null,null,null,null
2016-11-21,null,null,null,null,null,null
2016-11-22,null,null,null,null,null,null
2016-11-23,null,null,null,null,null,null
2016-11-24,null,null,null,null,null,null
2016-11-27,5.730000,5.740000,5.730000,5.740000,5.423487,70175
2016-11-28,null,null,null,null,null,null
2016-11-29,null,null,null,null,null,null
2016-11-30,5.870000,5.890000,5.870000,5.890000,5.565216,58470
2016-12-01,5.860000,5.900000,5.860000,5.900000,5.574665,28691
2016-12-04,5.890000,5.890000,5.830000,5.830000,5.508524,1197
2016-12-05,5.890000,5.910000,5.890000,5.910000,5.584113,31000
2016-12-06,5.920000,5.920000,5.920000,5.920000,5.593562,800
2016-12-07,5.970000,5.970000,5.970000,5.970000,5.640805,4116
2016-12-08,6.000000,6.000000,6.000000,6.000000,5.669150,6000
2016-12-11,6.040000,6.040000,6.030000,6.040000,5.706945,41833
2016-12-12,6.060000,6.090000,6.060000,6.080000,5.744739,54650
2016-12-13,6.150000,6.160000,6.130000,6.130000,5.791982,40740
2016-12-14,null,null,null,null,null,null
2016-12-15,6.080000,6.080000,6.070000,6.070000,5.735291,17350
2016-12-18,null,null,null,null,null,null
2016-12-19,6.110000,6.110000,6.110000,6.110000,5.773085,564
2016-12-20,null,null,null,null,null,null
2016-12-21,null,null,null,null,null,null
2016-12-22,null,null,null,null,null,null
2016-12-27,6.150000,6.150000,6.110000,6.110000,5.773085,7500
2016-12-28,null,null,null,null,null,null
2016-12-29,null,null,null,null,null,null
2017-01-02,6.080000,6.090000,6.080000,6.090000,5.754188,1400
2017-01-03,null,null,null,null,null,null
2017-01-04,6.090000,6.090000,6.090000,6.090000,5.754188,2500
2017-01-05,6.110000,6.120000,6.110000,6.120000,5.782534,4348
2017-01-08,null,null,null,null,null,null
2017-01-09,6.040000,6.040000,6.010000,6.010000,5.678599,9255
2017-01-10,null,null,null,null,null,null
2017-01-11,6.070000,6.070000,6.070000,6.070000,5.735291,2500
2017-01-12,6.040000,6.050000,6.030000,6.030000,5.697496,15184
2017-01-15,6.020000,6.030000,6.020000,6.020000,5.688047,12206
2017-01-16,null,null,null,null,null,null
2017-01-17,6.050000,6.050000,6.050000,6.050000,5.716394,664
2017-01-18,6.040000,6.040000,6.030000,6.030000,5.697496,55001
2017-01-19,6.010000,6.020000,6.010000,6.020000,5.688047,6400
