Date,Open,High,Low,Close,Adj Close,Volume
2013-07-17,3.780000,3.790000,3.700000,3.790000,3.286621,34318
2013-07-18,3.810000,3.810000,3.800000,3.800000,3.295292,14909
2013-07-19,3.810000,3.810000,3.760000,3.790000,3.286621,88842
2013-07-22,3.840000,3.840000,3.820000,3.840000,3.329980,13212
2013-07-23,3.760000,3.950000,3.760000,3.950000,3.425370,45094
2013-07-24,3.940000,3.940000,3.860000,3.860000,3.347323,43609
2013-07-25,3.820000,3.820000,3.810000,3.810000,3.303965,44044
2013-07-26,3.820000,3.820000,3.810000,3.810000,3.303965,4638
2013-07-29,3.820000,3.820000,3.800000,3.800000,3.295292,6334
2013-07-30,3.790000,3.790000,3.770000,3.790000,3.286621,19567
2013-07-31,3.800000,3.820000,3.800000,3.820000,3.312636,14015
2013-08-01,3.840000,3.850000,3.830000,3.830000,3.321308,91997
2013-08-02,3.850000,3.860000,3.850000,3.850000,3.338652,202191
2013-08-05,3.880000,3.880000,3.820000,3.840000,3.329980,15769
2013-08-06,3.840000,3.850000,3.820000,3.820000,3.312636,33324
2013-08-07,3.780000,3.780000,3.750000,3.760000,3.260606,22422
2013-08-08,3.760000,3.800000,3.760000,3.760000,3.260606,96910
2013-08-09,3.810000,3.810000,3.750000,3.770000,3.269277,67496
2013-08-12,3.790000,3.850000,3.790000,3.850000,3.338652,54538
2013-08-13,3.860000,3.910000,3.860000,3.910000,3.390683,11903
2013-08-14,3.910000,3.920000,3.890000,3.910000,3.390683,30683
2013-08-15,3.920000,3.920000,3.910000,3.920000,3.399354,17906
2013-08-16,3.900000,3.920000,3.880000,3.880000,3.364667,80794
2013-08-19,3.960000,3.970000,3.950000,3.950000,3.425370,125932
2013-08-20,3.910000,3.930000,3.910000,3.930000,3.408026,1593
2013-08-21,3.940000,3.960000,3.940000,3.950000,3.425370,9547
2013-08-22,3.960000,3.960000,3.900000,3.920000,3.399354,23015
2013-08-23,3.940000,3.980000,3.940000,3.960000,3.434042,39862
2013-08-26,4.010000,4.020000,3.990000,3.990000,3.460057,77154
2013-08-27,3.980000,3.980000,3.950000,3.960000,3.434042,122858
2013-08-28,3.880000,3.920000,3.880000,3.920000,3.399354,30909
2013-08-29,3.890000,3.890000,3.880000,3.880000,3.364667,13852
2013-08-30,3.900000,3.940000,3.900000,3.940000,3.416698,67321
2013-09-02,3.970000,4.000000,3.970000,4.000000,3.468729,44878
2013-09-03,4.020000,4.020000,3.990000,3.990000,3.460057,28637
2013-09-04,4.000000,4.010000,3.990000,4.000000,3.468729,14391
2013-09-05,4.010000,4.010000,3.990000,4.010000,3.477401,16105
2013-09-06,3.990000,3.990000,3.970000,3.990000,3.460057,41360
2013-09-09,4.000000,4.050000,4.000000,4.050000,3.512088,33639
2013-09-10,4.060000,4.060000,4.040000,4.040000,3.503416,48511
2013-09-11,4.040000,4.050000,4.030000,4.050000,3.512088,13404
2013-09-12,4.050000,4.060000,4.040000,4.040000,3.503416,41599
2013-09-13,4.030000,4.030000,4.000000,4.000000,3.468729,40547
2013-09-16,4.020000,4.030000,4.020000,4.030000,3.494745,47494
2013-09-17,4.030000,4.030000,4.010000,4.030000,3.494745,22853
2013-09-18,4.050000,4.050000,3.970000,3.990000,3.460057,53432
2013-09-19,4.000000,4.060000,4.000000,4.060000,3.520760,46086
2013-09-20,4.070000,4.100000,4.040000,4.050000,3.512088,205587
2013-09-23,4.030000,4.030000,3.990000,3.990000,3.460057,84719
2013-09-24,3.980000,4.010000,3.980000,4.000000,3.468729,312459
2013-09-25,4.000000,4.040000,4.000000,4.040000,3.503416,8146
2013-09-26,4.030000,4.050000,4.030000,4.050000,3.512088,25250
2013-09-27,4.050000,4.060000,4.050000,4.060000,3.520760,56894
2013-09-30,4.060000,4.060000,4.000000,4.010000,3.477401,66723
2013-10-01,4.000000,4.020000,4.000000,4.010000,3.477401,42059
2013-10-02,3.990000,4.010000,3.990000,4.010000,3.477401,43860
2013-10-03,4.000000,4.020000,3.990000,4.020000,3.486073,5040
