Date,Open,High,Low,Close,Adj Close,Volume
2013-07-17,5.280000,5.280000,5.280000,5.280000,4.848055,921
2013-07-18,null,null,null,null,null,null
2013-07-19,5.240000,5.250000,5.240000,5.250000,4.820509,7000
2013-07-22,null,null,null,null,null,null
2013-07-23,null,null,null,null,null,null
2013-07-24,5.380000,5.380000,5.380000,5.380000,4.939875,887
2013-07-25,null,null,null,null,null,null
2013-07-26,5.340000,5.340000,5.320000,5.320000,4.884783,134
2013-07-29,5.320000,5.320000,5.320000,5.320000,4.884783,3500
2013-07-30,null,null,null,null,null,null
2013-07-31,null,null,null,null,null,null
2013-08-01,null,null,null,null,null,null
2013-08-02,null,null,null,null,null,null
2013-08-05,5.430000,5.430000,5.430000,5.430000,4.985784,1484
2013-08-06,null,null,null,null,null,null
2013-08-07,5.360000,5.360000,5.360000,5.360000,4.921511,360
2013-08-08,null,null,null,null,null,null
2013-08-09,null,null,null,null,null,null
2013-08-12,5.510000,5.510000,5.510000,5.510000,5.059240,200
2013-08-13,5.590000,5.590000,5.590000,5.590000,5.132696,4000
2013-08-14,5.570000,5.570000,5.560000,5.560000,5.105149,5000
2013-08-15,5.620000,5.630000,5.600000,5.600000,5.141877,15700
2013-08-16,5.590000,5.590000,5.590000,5.590000,5.132696,2700
2013-08-19,5.580000,5.580000,5.580000,5.580000,5.123513,8330
2013-08-20,5.520000,5.560000,5.520000,5.560000,5.105149,18471
2013-08-21,5.470000,5.470000,5.470000,5.470000,5.022511,200
2013-08-22,null,null,null,null,null,null
2013-08-23,5.570000,5.570000,5.570000,5.570000,5.114332,2622
2013-08-26,5.630000,5.630000,5.630000,5.630000,5.169423,800
2013-08-27,null,null,null,null,null,null
2013-08-28,5.500000,5.500000,5.500000,5.500000,5.050058,1456
2013-08-29,5.500000,5.530000,5.500000,5.530000,5.077604,7218
2013-08-30,null,null,null,null,null,null
2013-09-02,5.640000,5.640000,5.630000,5.630000,5.169423,10100
2013-09-03,5.700000,5.700000,5.690000,5.690000,5.224514,21812
2013-09-04,5.680000,5.680000,5.680000,5.680000,5.215332,9700
2013-09-05,5.660000,5.660000,5.620000,5.650000,5.187787,4145
2013-09-06,5.650000,5.650000,5.620000,5.620000,5.160241,1775
2013-09-09,5.640000,5.680000,5.640000,5.680000,5.215332,30
2013-09-10,5.700000,5.720000,5.700000,5.720000,5.252060,1820
2013-09-11,5.740000,5.750000,5.740000,5.750000,5.279606,3510
2013-09-12,5.760000,5.760000,5.760000,5.760000,5.288788,13810
2013-09-13,5.740000,5.740000,5.710000,5.710000,5.242878,13120
2013-09-16,5.740000,5.780000,5.740000,5.770000,5.297969,8712
2013-09-17,5.740000,5.740000,5.720000,5.720000,5.252060,1208
2013-09-18,5.700000,5.700000,5.660000,5.660000,5.196969,30
